=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.06972387   0.06320564 -19.92193471]
[ -3.38122171  -1.19510017 -27.13674923]
[ -3.39278831  -1.21307509 -27.22045358]
[ -3.40781613  -1.19481377 -27.28700518]
[ -3.38533787  -1.24296862 -27.31784196]
[ -3.36719015  -1.25435191 -27.37265   ]
[ -3.40383077  -1.25857147 -27.44798992]
[ -3.37606329  -1.263883   -27.51508656]
[ -3.38716727  -1.28238858 -27.54783713]
[ -3.37714869  -1.3129788  -27.61381764]
[ -3.34248899  -1.35169148 -27.68159643]
[ -3.36303229  -1.38114261 -27.74205052]
[ -3.31327273  -1.4428899  -27.77570771]
[ -3.3044575   -1.45779233 -27.83390178]
[ -3.30882597  -1.52162263 -27.91593597]
[ -3.27564843  -1.57774258 -27.98982867]
[ -3.24313108  -1.58634329 -28.03569619]
[ -3.22078618  -1.65667864 -28.08834517]
[ -3.24144474  -1.69934553 -28.16992307]
[ -3.22964495  -1.76395392 -28.19730527]
[ -3.1893224   -1.81657155 -28.24504373]
[ -3.20370724  -1.84145221 -28.30272366]
[ -3.16857393  -1.93178304 -28.37542921]
[ -3.15654339  -1.9594912  -28.46437409]
[ -3.16442546  -2.04476983 -28.50221008]
[ -3.16400889  -2.09533743 -28.55110255]
[ -3.15403837  -2.11317859 -28.62266045]
[ -3.16789472  -2.19229333 -28.68301733]
[ -3.19629153  -2.23140003 -28.73934256]
[ -3.1809233   -2.28199913 -28.81278709]
[ -3.20915279  -2.31946671 -28.88287604]
[ -3.19833872  -2.37730868 -28.90462044]
[ -3.24895557  -2.42320512 -28.98004442]
[ -3.24921104  -2.49838261 -29.01347071]
[ -3.28914716  -2.56396969 -29.0981835 ]
[ -3.26197024  -2.57975607 -29.15511647]
[ -3.3291754   -2.64130308 -29.24158835]
[ -3.34578996  -2.70293261 -29.26725745]
[ -3.35239322  -2.7144444  -29.33959689]
[ -3.38288124  -2.78427756 -29.41431397]
[ -3.43065783  -2.82198852 -29.47950898]
[ -3.45322863  -2.84961952 -29.50827037]
[ -3.50242321  -2.92130568 -29.58297085]
[ -3.51714688  -2.9435134  -29.641837  ]
[ -3.5421075   -2.9518051  -29.70347419]
[ -3.58099744  -3.00896871 -29.75260899]
[ -3.64729999  -3.03781975 -29.80611998]
[ -3.68436534  -3.0935372  -29.87452061]
[ -3.70235269  -3.08104494 -29.93136072]
[ -3.73457386  -3.12274001 -29.97995551]
[ -3.77715753  -3.13875744 -30.08017462]
[ -3.82362795  -3.18445564 -30.12245399]
[ -3.86448719  -3.20417517 -30.15333398]
[ -3.91171451  -3.22934046 -30.23300887]
[ -3.97064452  -3.24622939 -30.32124651]
[ -4.00269305  -3.26342425 -30.36250277]
[ -4.08297796  -3.26944406 -30.43407967]
[ -4.10040203  -3.28664514 -30.48391563]
[ -4.17121116  -3.30120978 -30.53772178]
[ -4.18932134  -3.29253279 -30.61456738]
[ -4.25654426  -3.28841123 -30.6687252 ]
